round_id	round	phase	phase_duration_microseconds	phase_metrics	ProfileEvents
90c3421745c005e344b5876c2a849773	0	orphan_sweep	2	{'cursor_advanced':0,'deleted':0,'list_budget_keys':1000,'listed':2,'retained_hold':0,'retained_no_coverage':0,'retained_tail_removal':0,'retained_unconsumed_seal':0,'skipped':2,'suppressed':0}	{}
90c3421745c005e344b5876c2a849773	0	pending_deletes	3338710	{'absent':0,'deleted':5000,'graduated':5000,'outcome_logs_written':1,'redeleted':5000,'replaced':0,'spared':0}	{'CASBlobDelete':5000,'CASConditionalWriteAttempts':1,'CASConditionalWriteCommitted':1,'CASGCPut':1,'CASGCRetiredGraduated':5000,'CASGCRetiredRedeleted':5000,'ContextLock':15001,'ContextLockWaitMicroseconds':4,'DiskConnectionsCreated':27,'DiskConnectionsElapsedMicroseconds':2229,'DiskConnectionsExpired':49,'DiskConnectionsPreserved':4951,'DiskConnectionsReused':4973,'DiskS3DeleteObjects':5000,'DiskS3WriteMicroseconds':2903505,'DiskS3WriteRequestAttempts':5000,'DiskS3WriteRequestsCount':5000,'IOBufferAllocBytes':1048639,'IOBufferAllocs':1,'LocalThreadPoolJobs':5001,'LocalThreadPoolLockWaitMicroseconds':3,'LogTrace':3,'MemoryAllocatedWithoutCheck':9956,'MemoryAllocatedWithoutCheckBytes':10832128,'S3WriteMicroseconds':2903505,'S3WriteRequestAttempts':5000,'S3WriteRequestsCount':5000,'WriteBufferFromS3Bytes':183498}
90c3421745c005e344b5876c2a849773	0	ref_object_cleanup	2710	{'namespaces_planned':2,'suppressed':0,'trim_enabled':1}	{'CASRootGet':4,'ContextLock':16,'DiskConnectionsPreserved':8,'DiskConnectionsReused':8,'DiskS3GetObject':4,'DiskS3HeadObject':4,'DiskS3ReadMicroseconds':1581,'DiskS3ReadRequestsCount':8,'IOBufferAllocBytes':27888,'IOBufferAllocs':4,'MemoryAllocatedWithoutCheck':16,'MemoryAllocatedWithoutCheckBytes':17408,'ReadBufferFromS3Bytes':11252,'ReadBufferFromS3InitMicroseconds':1125,'ReadBufferFromS3Microseconds':1146,'S3GetObject':4,'S3HeadObject':4,'S3ReadMicroseconds':1581,'S3ReadRequestsCount':8}
90c3421745c005e344b5876c2a849773	0	round_commit	5121	{'generation':31,'generations_referenced':2,'generations_visited':1,'pruned_through':28,'round':31}	{'CASConditionalWriteAttempts':1,'CASConditionalWriteCommitted':1,'CASGCCompareSwap':1,'CASGCDelete':3,'CASGCEnumerationPages':1,'CASGCList':1,'ContextLock':4,'DiskConnectionsPreserved':3,'DiskConnectionsReused':3,'DiskS3DeleteObjects':3,'DiskS3WriteMicroseconds':1621,'DiskS3WriteRequestAttempts':3,'DiskS3WriteRequestsCount':3,'GlobalThreadPoolJobs':1,'IOBufferAllocBytes':1048639,'IOBufferAllocs':1,'LocalThreadPoolExpansions':1,'LocalThreadPoolJobs':2,'LocalThreadPoolShrinks':1,'LocalThreadPoolThreadCreationMicroseconds':4,'LogTrace':3,'MemoryAllocatedWithoutCheck':6,'MemoryAllocatedWithoutCheckBytes':6528,'S3WriteMicroseconds':1621,'S3WriteRequestAttempts':3,'S3WriteRequestsCount':3,'WriteBufferFromS3Bytes':141}
9363c14680feacca8e2d200f9d4042a3	0	manifest_deletes	1	{'attempted':0,'deleted':0,'suppressed':0}	{}
9363c14680feacca8e2d200f9d4042a3	0	namespace_cleanup	455198	{'evidence_rows':0,'janitor_deleted':0,'janitor_keys':1000,'janitor_pages':1,'leaked':0}	{'CASConditionalWriteAttempts':1,'CASConditionalWriteCommitted':1,'CASGCCompareSwap':1,'CASGCGet':2,'CASOtherGet':1,'CASRootList':1,'ContextLock':13,'DiskConnectionsPreserved':6,'DiskConnectionsReused':6,'DiskS3GetObject':3,'DiskS3HeadObject':3,'DiskS3ReadMicroseconds':2186,'DiskS3ReadRequestsCount':6,'GlobalThreadPoolJobs':1,'IOBufferAllocBytes':1061721,'IOBufferAllocs':4,'LocalThreadPoolExpansions':1,'LocalThreadPoolJobs':4,'LocalThreadPoolShrinks':1,'LocalThreadPoolThreadCreationMicroseconds':4,'LogTrace':3,'MemoryAllocatedWithoutCheck':12,'MemoryAllocatedWithoutCheckBytes':13056,'ReadBufferFromS3Bytes':605,'ReadBufferFromS3InitMicroseconds':1458,'ReadBufferFromS3Microseconds':1473,'S3GetObject':3,'S3HeadObject':3,'S3ReadMicroseconds':2186,'S3ReadRequestsCount':6,'WriteBufferFromS3Bytes':152}
9363c14680feacca8e2d200f9d4042a3	0	orphan_sweep	2	{'cursor_advanced':0,'deleted':0,'list_budget_keys':1000,'listed':2,'retained_hold':0,'retained_no_coverage':0,'retained_tail_removal':0,'retained_unconsumed_seal':0,'skipped':2,'suppressed':0}	{}
9363c14680feacca8e2d200f9d4042a3	0	pending_deletes	2921168	{'absent':0,'deleted':5000,'graduated':5000,'outcome_logs_written':1,'redeleted':5000,'replaced':0,'spared':0}	{'CASBlobDelete':5000,'CASConditionalWriteAttempts':1,'CASConditionalWriteCommitted':1,'CASGCPut':1,'CASGCRetiredGraduated':5000,'CASGCRetiredRedeleted':5000,'ContextLock':15001,'DiskConnectionsCreated':30,'DiskConnectionsElapsedMicroseconds':2070,'DiskConnectionsExpired':49,'DiskConnectionsPreserved':4951,'DiskConnectionsReused':4970,'DiskS3DeleteObjects':5000,'DiskS3WriteMicroseconds':2483526,'DiskS3WriteRequestAttempts':5000,'DiskS3WriteRequestsCount':5000,'IOBufferAllocBytes':1048639,'IOBufferAllocs':1,'LocalThreadPoolJobs':5001,'LocalThreadPoolLockWaitMicroseconds':10,'LogTrace':3,'MemoryAllocatedWithoutCheck':9962,'MemoryAllocatedWithoutCheckBytes':10838656,'QueryProfilerRuns':1,'S3WriteMicroseconds':2483526,'S3WriteRequestAttempts':5000,'S3WriteRequestsCount':5000,'WriteBufferFromS3Bytes':183498}
9363c14680feacca8e2d200f9d4042a3	0	ref_object_cleanup	7805033	{'namespaces_planned':2,'suppressed':0,'trim_enabled':1}	{'CASGCGet':5000,'CASOtherGet':5000,'CASRefCleanupObjectsDeleted':5000,'CASRootDelete':5000,'CASRootGet':2,'CASRootHead':5000,'ContextLock':45008,'ContextLockWaitMicroseconds':19,'DiskConnectionsCreated':295,'DiskConnectionsElapsedMicroseconds':16797,'DiskConnectionsExpired':301,'DiskConnectionsPreserved':29703,'DiskConnectionsReused':29709,'DiskS3DeleteObjects':5000,'DiskS3GetObject':10002,'DiskS3HeadObject':15002,'DiskS3ReadMicroseconds':3856014,'DiskS3ReadRequestsCount':25004,'DiskS3WriteMicroseconds':2239941,'DiskS3WriteRequestAttempts':5000,'DiskS3WriteRequestsCount':5000,'IOBufferAllocBytes':43863915,'IOBufferAllocs':10002,'MemoryAllocatedWithoutCheck':59996,'MemoryAllocatedWithoutCheckBytes':65275648,'ReadBufferFromS3Bytes':2265597,'ReadBufferFromS3InitMicroseconds':2279997,'ReadBufferFromS3Microseconds':2295406,'S3GetObject':10002,'S3HeadObject':15002,'S3ReadMicroseconds':3856014,'S3ReadRequestsCount':25004,'S3WriteMicroseconds':2239941,'S3WriteRequestAttempts':5000,'S3WriteRequestsCount':5000}
9363c14680feacca8e2d200f9d4042a3	0	round_commit	6733	{'generation':11,'generations_referenced':2,'generations_visited':1,'pruned_through':8,'round':11}	{'CASConditionalWriteAttempts':1,'CASConditionalWriteCommitted':1,'CASGCCompareSwap':1,'CASGCDelete':3,'CASGCEnumerationPages':1,'CASGCList':1,'ContextLock':4,'DiskConnectionsPreserved':3,'DiskConnectionsReused':3,'DiskS3DeleteObjects':3,'DiskS3WriteMicroseconds':2802,'DiskS3WriteRequestAttempts':3,'DiskS3WriteRequestsCount':3,'GlobalThreadPoolJobs':1,'IOBufferAllocBytes':1048639,'IOBufferAllocs':1,'LocalThreadPoolExpansions':1,'LocalThreadPoolJobs':2,'LocalThreadPoolShrinks':1,'LocalThreadPoolThreadCreationMicroseconds':5,'LogTrace':3,'MemoryAllocatedWithoutCheck':6,'MemoryAllocatedWithoutCheckBytes':6528,'S3WriteMicroseconds':2802,'S3WriteRequestAttempts':3,'S3WriteRequestsCount':3,'WriteBufferFromS3Bytes':140}
