round_id	round	event_type	outcome	duration_ms	anomalies	entries_condemned	entries_graduated	entries_redeleted	objects_deleted
50943d4fd00d05eaa962f65ce1c15b1d	0	Start	Unknown	0	0	0	0	0	0
d334b5c24173b2078658d58050a2898d	0	Start	Unknown	0	0	0	0	0	0
d58eec1cd394c2a0a1ae5a342f24e693	0	Start	Unknown	0	0	0	0	0	0
b0b5c0583e4bcb1de87d28683d0c9062	0	Start	Unknown	0	0	0	0	0	0
97308478d6b1a2dec4696e106a176b3a	0	Start	Unknown	0	0	0	0	0	0
78f06b6ef1f52852582605a8ee1d2289	0	Start	Unknown	0	0	0	0	0	0
a6f21aca20f890bf11af8060dcf99b16	0	Start	Unknown	0	0	0	0	0	0
debbf83e48adfed08ba68421c4a38b05	0	Start	Unknown	0	0	0	0	0	0
c7099d7c480f5d673a782719410ec998	0	Start	Unknown	0	0	0	0	0	0
3dfc0cb8605961ff64714f2fa5cb5b91	0	Start	Unknown	0	0	0	0	0	0
6b5d1257a3a64fc4d33463c19c38ae7c	0	Start	Unknown	0	0	0	0	0	0
52f4aac20763730077f958828df7e265	0	Start	Unknown	0	0	0	0	0	0
03fbe94e7ced9c1ae91c5cba808c2012	0	Start	Unknown	0	0	0	0	0	0
2f823a9b81dfb8e1f4ea12b0e6a410db	0	Start	Unknown	0	0	0	0	0	0
74311fd1434ec858deed8f18b0222015	0	Start	Unknown	0	0	0	0	0	0
1c810bd4fa6daf3ef0ad0aac236254c2	0	Start	Unknown	0	0	0	0	0	0
e3443e515e20cdf64d4e9fa399dee90a	0	Start	Unknown	0	0	0	0	0	0
b25b4e368f61a6e37e07433143a5f582	0	Start	Unknown	0	0	0	0	0	0
160b56782f81afe19ccb0cadda643559	0	Start	Unknown	0	0	0	0	0	0
1da4ad0db31eb329c20a21ba2fab1cf3	0	Start	Unknown	0	0	0	0	0	0
87e2ee7866fff6f794067f40f7a20c2e	0	Start	Unknown	0	0	0	0	0	0
1949a79493131a99ec90ede1778d5252	0	Start	Unknown	0	0	0	0	0	0
b8f77b7781b0792f3777b82f95f43aff	0	Start	Unknown	0	0	0	0	0	0
d3f23c450e669b4b9cbf2a6f614b84f9	0	Start	Unknown	0	0	0	0	0	0
768bcf921a12ad5e3cd0865c72d3a01b	0	Start	Unknown	0	0	0	0	0	0
01ba68d368f202ec4400f4344cd40a32	0	Start	Unknown	0	0	0	0	0	0
ce9f389ec644f87738bc6103333915e2	0	Start	Unknown	0	0	0	0	0	0
a2575892a00d7b51fd98e259eccbe7d9	0	Start	Unknown	0	0	0	0	0	0
abdeb4d1d53906a93d4e38a41ad779c0	0	Start	Unknown	0	0	0	0	0	0
37d63c006fb26dcaffc29e01fa87cb04	0	Start	Unknown	0	0	0	0	0	0
3a38cb85796c76ddd25e8bf3203d30c6	0	Start	Unknown	0	0	0	0	0	0
7e81319477fad80aa62a214aed3d8929	0	Start	Unknown	0	0	0	0	0	0
0f3c7ed9014214b34f7f6d593e2a6fd1	0	Start	Unknown	0	0	0	0	0	0
facab6aefb1e825294809e79e36e64e3	0	Start	Unknown	0	0	0	0	0	0
14a9b70ebf8f4cbfa752a945b6c00e4b	0	Start	Unknown	0	0	0	0	0	0
15550e4a1875de4365f2bfb007671675	0	Start	Unknown	0	0	0	0	0	0
d9a5b51ea7fbd2679766221465723434	0	Start	Unknown	0	0	0	0	0	0
1c9e6b6f68fe844c1f39d3a11a347ccf	0	Start	Unknown	0	0	0	0	0	0
4e23cbc0860ce12a2998f156c1e4de2c	0	Start	Unknown	0	0	0	0	0	0
959a061d27f50e38608399cd6fc7e1dd	0	Start	Unknown	0	0	0	0	0	0
c063efac4383abbd53d303e21678d3cc	0	Start	Unknown	0	0	0	0	0	0
a179ab8c0af363708a7461a193c83863	0	Start	Unknown	0	0	0	0	0	0
67bddbab0bcb0c4a2e0f7da0ea019b5c	0	Start	Unknown	0	0	0	0	0	0
ee90f97d48078f80d71d8f5d6baa2fb3	0	Start	Unknown	0	0	0	0	0	0
b39a459a0d2e5aad5af38db792d3afae	0	Start	Unknown	0	0	0	0	0	0
ad56e9c538be467635685ba0d2ebbca9	0	Start	Unknown	0	0	0	0	0	0
6a62ac3ee4fa2a45f2945fd689e17157	0	Start	Unknown	0	0	0	0	0	0
9525acac2e13bf9f887e677f8c1669df	0	Start	Unknown	0	0	0	0	0	0
416d2b0ad598e69377cfa104b5c3c94e	0	Start	Unknown	0	0	0	0	0	0
5cdfce7b5bf54c70318c121c03f540b8	0	Start	Unknown	0	0	0	0	0	0
7b6f94cd513f7bf528edd9929c3de998	0	Start	Unknown	0	0	0	0	0	0
3eed723fc489b77c3bb5efdffd9095dd	0	Start	Unknown	0	0	0	0	0	0
68dbffa68395230b47c4d998fde12c55	0	Start	Unknown	0	0	0	0	0	0
80fd2d389105ce7fce70da52f5928b59	0	Start	Unknown	0	0	0	0	0	0
d56b9bf3313e503d5f41f8c02192f265	0	Start	Unknown	0	0	0	0	0	0
c768a81b6065513ac70c8e9a12efa4f8	0	Start	Unknown	0	0	0	0	0	0
922094117101193a7a6c9de6973f2c10	0	Start	Unknown	0	0	0	0	0	0
6378828a87ea7487f3e2bda049259c48	0	Start	Unknown	0	0	0	0	0	0
bfc17cf96263c02a5352d848306cf178	0	Start	Unknown	0	0	0	0	0	0
f7ea5a1699716f0034c256cdba77a496	0	Start	Unknown	0	0	0	0	0	0
568b06dec0d27a79cad1ab3fc48997af	0	Start	Unknown	0	0	0	0	0	0
6774a240538d834eb2eb371155d8087e	0	Start	Unknown	0	0	0	0	0	0
06829e134dba08b1d80d5854e2b2d7e5	0	Start	Unknown	0	0	0	0	0	0
43bae6192fca265e00ea5413c389d8be	0	Start	Unknown	0	0	0	0	0	0
8fa6b35c33c534818519413d3828df20	0	Start	Unknown	0	0	0	0	0	0
a7a14bf6fbbb8e422b0a1bad0afca1c6	0	Start	Unknown	0	0	0	0	0	0
ba4077a8505b4cbdd11a1b0cd9e4969b	0	Start	Unknown	0	0	0	0	0	0
ae4bd7dedca71cbd627b7c738135cffc	0	Start	Unknown	0	0	0	0	0	0
79daa2106a64c024b90bf2f78b6bca1d	0	Start	Unknown	0	0	0	0	0	0
4dc68cddb9b3ff6c603b539d4c29011b	0	Start	Unknown	0	0	0	0	0	0
93cc056f45050e77e760c62d0d11fbe1	0	Start	Unknown	0	0	0	0	0	0
c9237c4b23f9480d766880df08f9cc55	0	Start	Unknown	0	0	0	0	0	0
012d914f412a770efe5802cf2e8cf303	0	Start	Unknown	0	0	0	0	0	0
f4aba99bd823595c634244562042b3ea	0	Start	Unknown	0	0	0	0	0	0
e4b1405fcfb4f8270286cd40c6c85967	0	Start	Unknown	0	0	0	0	0	0
fb646327a679f5eaf3a9855b6c90aa22	0	Start	Unknown	0	0	0	0	0	0
421d1b4616e0986d1352ebf7f6994f0d	0	Start	Unknown	0	0	0	0	0	0
26cccb055f938d6fc6bb4cc045a9556c	0	Start	Unknown	0	0	0	0	0	0
02183d18eacb47db2224913361e4f976	0	Start	Unknown	0	0	0	0	0	0
d458e1c061a778c7eec84c2c01798fdc	0	Start	Unknown	0	0	0	0	0	0
b8b88ca8b0f7d673d0b60deef708a2d4	0	Start	Unknown	0	0	0	0	0	0
30f6239f4646502a430bd8698483b730	0	Start	Unknown	0	0	0	0	0	0
086a658b123ffa248049a3dece3a760f	0	Start	Unknown	0	0	0	0	0	0
2ae8148819e1ef3b77ebf62af7ac4111	0	Start	Unknown	0	0	0	0	0	0
6dd75ac19a519793a5e9b4c033a7ffac	0	Start	Unknown	0	0	0	0	0	0
77510fa5c07fa0f6ae2bcb82e4e71531	0	Start	Unknown	0	0	0	0	0	0
a8b41a6ecc8380b71084fdeb2ec08c8e	0	Start	Unknown	0	0	0	0	0	0
160b56782f81afe19ccb0cadda643559	0	Finish	NotALeader	12	0	0	0	0	0
c10b273c9146d2195196e0093ebcaf86	0	Finish	Deferred	8	0	0	0	0	0
debbf83e48adfed08ba68421c4a38b05	0	Finish	NotALeader	4	0	0	0	0	0
c7099d7c480f5d673a782719410ec998	0	Finish	NotALeader	3	0	0	0	0	0
