hostname	event_date	event_time	event_time_microseconds	event_type	disk_name	srid	gc_id	trigger	round	outcome	candidates_marked	objects_deleted	objects_absent	objects_replaced	objects_spared	manifests_deleted	entries_condemned	entries_graduated	entries_redeleted	fence_outs	anomalies	duration_ms	error	ProfileEvents	round_id	phase	phase_duration_us	phase_metrics
e10bbf9b059b	2026-07-26	2026-07-26 21:48:08	2026-07-26 21:48:08.468820	Finish	ca	ca_soak_ch2	c898493f0ef1443214ee4b210130206a	Scheduled	0	NotALeader	0	0	0	0	0	0	0	0	0	0	0	2		{'CasGcGet':2,'ContextLock':9,'DiskConnectionsCreated':1,'DiskConnectionsElapsedMicroseconds':112,'DiskConnectionsExpired':1,'DiskConnectionsPreserved':4,'DiskConnectionsReused':3,'DiskS3GetObject':2,'DiskS3HeadObject':2,'DiskS3ReadMicroseconds':1665,'DiskS3ReadRequestsCount':4,'IOBufferAllocBytes':8540,'IOBufferAllocs':2,'MemoryAllocatedWithoutCheck':10,'MemoryAllocatedWithoutCheckBytes':10880,'ReadBufferFromS3Bytes':222,'ReadBufferFromS3InitMicroseconds':977,'ReadBufferFromS3Microseconds':985,'S3GetObject':2,'S3HeadObject':2,'S3ReadMicroseconds':1665,'S3ReadRequestsCount':4}	7f06ec3c897f11f5b50a61cdc5232325		0	{}
e10bbf9b059b	2026-07-26	2026-07-26 21:48:18	2026-07-26 21:48:18.468892	Start	ca	ca_soak_ch2	c898493f0ef1443214ee4b210130206a	Scheduled	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0		{}	2274e40f7a9d987dcdbd577be60edc38		0	{}
e10bbf9b059b	2026-07-26	2026-07-26 21:48:18	2026-07-26 21:48:18.471408	Phase	ca	ca_soak_ch2	c898493f0ef1443214ee4b210130206a	Scheduled	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0		{'CasGcGet':2,'ContextLock':8,'DiskConnectionsCreated':1,'DiskConnectionsElapsedMicroseconds':110,'DiskConnectionsExpired':1,'DiskConnectionsPreserved':4,'DiskConnectionsReused':3,'DiskS3GetObject':2,'DiskS3HeadObject':2,'DiskS3ReadMicroseconds':1764,'DiskS3ReadRequestsCount':4,'IOBufferAllocBytes':8540,'IOBufferAllocs':2,'MemoryAllocatedWithoutCheck':12,'MemoryAllocatedWithoutCheckBytes':10976,'ReadBufferFromS3Bytes':222,'ReadBufferFromS3InitMicroseconds':1082,'ReadBufferFromS3Microseconds':1091,'S3GetObject':2,'S3HeadObject':2,'S3ReadMicroseconds':1764,'S3ReadRequestsCount':4}	2274e40f7a9d987dcdbd577be60edc38	lease	2501	{'acquired':0,'steal_allowed':1}
e10bbf9b059b	2026-07-26	2026-07-26 21:48:18	2026-07-26 21:48:18.471415	Finish	ca	ca_soak_ch2	c898493f0ef1443214ee4b210130206a	Scheduled	0	NotALeader	0	0	0	0	0	0	0	0	0	0	0	2		{'CasGcGet':2,'ContextLock':9,'DiskConnectionsCreated':1,'DiskConnectionsElapsedMicroseconds':110,'DiskConnectionsExpired':1,'DiskConnectionsPreserved':4,'DiskConnectionsReused':3,'DiskS3GetObject':2,'DiskS3HeadObject':2,'DiskS3ReadMicroseconds':1764,'DiskS3ReadRequestsCount':4,'IOBufferAllocBytes':8540,'IOBufferAllocs':2,'MemoryAllocatedWithoutCheck':12,'MemoryAllocatedWithoutCheckBytes':10976,'ReadBufferFromS3Bytes':222,'ReadBufferFromS3InitMicroseconds':1082,'ReadBufferFromS3Microseconds':1091,'S3GetObject':2,'S3HeadObject':2,'S3ReadMicroseconds':1764,'S3ReadRequestsCount':4}	2274e40f7a9d987dcdbd577be60edc38		0	{}
e10bbf9b059b	2026-07-26	2026-07-26 21:48:28	2026-07-26 21:48:28.471487	Start	ca	ca_soak_ch2	c898493f0ef1443214ee4b210130206a	Scheduled	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0		{}	f7538110299c05ad00e0bdb5f7c50d12		0	{}
e10bbf9b059b	2026-07-26	2026-07-26 21:48:28	2026-07-26 21:48:28.473030	Phase	ca	ca_soak_ch2	c898493f0ef1443214ee4b210130206a	Scheduled	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0		{'CasGcGet':2,'ContextLock':8,'DiskConnectionsPreserved':4,'DiskConnectionsReused':4,'DiskS3GetObject':2,'DiskS3HeadObject':2,'DiskS3ReadMicroseconds':1111,'DiskS3ReadRequestsCount':4,'IOBufferAllocBytes':8540,'IOBufferAllocs':2,'MemoryAllocatedWithoutCheck':8,'MemoryAllocatedWithoutCheckBytes':8704,'ReadBufferFromS3Bytes':222,'ReadBufferFromS3InitMicroseconds':768,'ReadBufferFromS3Microseconds':773,'S3GetObject':2,'S3HeadObject':2,'S3ReadMicroseconds':1111,'S3ReadRequestsCount':4}	f7538110299c05ad00e0bdb5f7c50d12	lease	1525	{'acquired':0,'steal_allowed':1}
e10bbf9b059b	2026-07-26	2026-07-26 21:48:28	2026-07-26 21:48:28.473036	Finish	ca	ca_soak_ch2	c898493f0ef1443214ee4b210130206a	Scheduled	0	NotALeader	0	0	0	0	0	0	0	0	0	0	0	1		{'CasGcGet':2,'ContextLock':9,'DiskConnectionsPreserved':4,'DiskConnectionsReused':4,'DiskS3GetObject':2,'DiskS3HeadObject':2,'DiskS3ReadMicroseconds':1111,'DiskS3ReadRequestsCount':4,'IOBufferAllocBytes':8540,'IOBufferAllocs':2,'MemoryAllocatedWithoutCheck':8,'MemoryAllocatedWithoutCheckBytes':8704,'ReadBufferFromS3Bytes':222,'ReadBufferFromS3InitMicroseconds':768,'ReadBufferFromS3Microseconds':773,'S3GetObject':2,'S3HeadObject':2,'S3ReadMicroseconds':1111,'S3ReadRequestsCount':4}	f7538110299c05ad00e0bdb5f7c50d12		0	{}
e10bbf9b059b	2026-07-26	2026-07-26 21:48:38	2026-07-26 21:48:38.473053	Start	ca	ca_soak_ch2	c898493f0ef1443214ee4b210130206a	Scheduled	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0		{}	086533c9d4a4cee146d09f87bebc4459		0	{}
e10bbf9b059b	2026-07-26	2026-07-26 21:48:38	2026-07-26 21:48:38.476517	Phase	ca	ca_soak_ch2	c898493f0ef1443214ee4b210130206a	Scheduled	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0		{'CasGcGet':2,'ContextLock':8,'DiskConnectionsCreated':1,'DiskConnectionsElapsedMicroseconds':108,'DiskConnectionsExpired':1,'DiskConnectionsPreserved':4,'DiskConnectionsReused':3,'DiskS3GetObject':2,'DiskS3HeadObject':2,'DiskS3ReadMicroseconds':2373,'DiskS3ReadRequestsCount':4,'IOBufferAllocBytes':8540,'IOBufferAllocs':2,'MemoryAllocatedWithoutCheck':10,'MemoryAllocatedWithoutCheckBytes':10880,'ReadBufferFromS3Bytes':222,'ReadBufferFromS3InitMicroseconds':1552,'ReadBufferFromS3Microseconds':1562,'S3GetObject':2,'S3HeadObject':2,'S3ReadMicroseconds':2373,'S3ReadRequestsCount':4}	086533c9d4a4cee146d09f87bebc4459	lease	3439	{'acquired':0,'steal_allowed':1}
e10bbf9b059b	2026-07-26	2026-07-26 21:48:38	2026-07-26 21:48:38.476531	Finish	ca	ca_soak_ch2	c898493f0ef1443214ee4b210130206a	Scheduled	0	NotALeader	0	0	0	0	0	0	0	0	0	0	0	3		{'CasGcGet':2,'ContextLock':9,'DiskConnectionsCreated':1,'DiskConnectionsElapsedMicroseconds':108,'DiskConnectionsExpired':1,'DiskConnectionsPreserved':4,'DiskConnectionsReused':3,'DiskS3GetObject':2,'DiskS3HeadObject':2,'DiskS3ReadMicroseconds':2373,'DiskS3ReadRequestsCount':4,'IOBufferAllocBytes':8540,'IOBufferAllocs':2,'MemoryAllocatedWithoutCheck':10,'MemoryAllocatedWithoutCheckBytes':10880,'ReadBufferFromS3Bytes':222,'ReadBufferFromS3InitMicroseconds':1552,'ReadBufferFromS3Microseconds':1562,'S3GetObject':2,'S3HeadObject':2,'S3ReadMicroseconds':2373,'S3ReadRequestsCount':4}	086533c9d4a4cee146d09f87bebc4459		0	{}
e10bbf9b059b	2026-07-26	2026-07-26 21:48:48	2026-07-26 21:48:48.476614	Start	ca	ca_soak_ch2	c898493f0ef1443214ee4b210130206a	Scheduled	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0		{}	e9a93d9de9447db07dd3769f2d1f833b		0	{}
e10bbf9b059b	2026-07-26	2026-07-26 21:48:48	2026-07-26 21:48:48.479247	Phase	ca	ca_soak_ch2	c898493f0ef1443214ee4b210130206a	Scheduled	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0		{'CasGcGet':2,'ContextLock':8,'DiskConnectionsCreated':1,'DiskConnectionsElapsedMicroseconds':107,'DiskConnectionsExpired':1,'DiskConnectionsPreserved':4,'DiskConnectionsReused':3,'DiskS3GetObject':2,'DiskS3HeadObject':2,'DiskS3ReadMicroseconds':1824,'DiskS3ReadRequestsCount':4,'IOBufferAllocBytes':8540,'IOBufferAllocs':2,'MemoryAllocatedWithoutCheck':10,'MemoryAllocatedWithoutCheckBytes':10880,'ReadBufferFromS3Bytes':222,'ReadBufferFromS3InitMicroseconds':1106,'ReadBufferFromS3Microseconds':1114,'S3GetObject':2,'S3HeadObject':2,'S3ReadMicroseconds':1824,'S3ReadRequestsCount':4}	e9a93d9de9447db07dd3769f2d1f833b	lease	2619	{'acquired':0,'steal_allowed':1}
e10bbf9b059b	2026-07-26	2026-07-26 21:48:48	2026-07-26 21:48:48.479260	Finish	ca	ca_soak_ch2	c898493f0ef1443214ee4b210130206a	Scheduled	0	NotALeader	0	0	0	0	0	0	0	0	0	0	0	2		{'CasGcGet':2,'ContextLock':9,'DiskConnectionsCreated':1,'DiskConnectionsElapsedMicroseconds':107,'DiskConnectionsExpired':1,'DiskConnectionsPreserved':4,'DiskConnectionsReused':3,'DiskS3GetObject':2,'DiskS3HeadObject':2,'DiskS3ReadMicroseconds':1824,'DiskS3ReadRequestsCount':4,'IOBufferAllocBytes':8540,'IOBufferAllocs':2,'MemoryAllocatedWithoutCheck':10,'MemoryAllocatedWithoutCheckBytes':10880,'ReadBufferFromS3Bytes':222,'ReadBufferFromS3InitMicroseconds':1106,'ReadBufferFromS3Microseconds':1114,'S3GetObject':2,'S3HeadObject':2,'S3ReadMicroseconds':1824,'S3ReadRequestsCount':4}	e9a93d9de9447db07dd3769f2d1f833b		0	{}
e10bbf9b059b	2026-07-26	2026-07-26 21:48:58	2026-07-26 21:48:58.479327	Start	ca	ca_soak_ch2	c898493f0ef1443214ee4b210130206a	Scheduled	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0		{}	8f18d9e506c5449978f9eef959a11013		0	{}
e10bbf9b059b	2026-07-26	2026-07-26 21:48:58	2026-07-26 21:48:58.482198	Phase	ca	ca_soak_ch2	c898493f0ef1443214ee4b210130206a	Scheduled	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0		{'CasGcGet':2,'ContextLock':8,'DiskConnectionsCreated':1,'DiskConnectionsElapsedMicroseconds':127,'DiskConnectionsExpired':1,'DiskConnectionsPreserved':4,'DiskConnectionsReused':3,'DiskS3GetObject':2,'DiskS3HeadObject':2,'DiskS3ReadMicroseconds':1962,'DiskS3ReadRequestsCount':4,'IOBufferAllocBytes':8540,'IOBufferAllocs':2,'MemoryAllocatedWithoutCheck':12,'MemoryAllocatedWithoutCheckBytes':10976,'ReadBufferFromS3Bytes':222,'ReadBufferFromS3InitMicroseconds':1274,'ReadBufferFromS3Microseconds':1282,'S3GetObject':2,'S3HeadObject':2,'S3ReadMicroseconds':1962,'S3ReadRequestsCount':4}	8f18d9e506c5449978f9eef959a11013	lease	2851	{'acquired':0,'steal_allowed':1}
e10bbf9b059b	2026-07-26	2026-07-26 21:48:58	2026-07-26 21:48:58.482206	Finish	ca	ca_soak_ch2	c898493f0ef1443214ee4b210130206a	Scheduled	0	NotALeader	0	0	0	0	0	0	0	0	0	0	0	2		{'CasGcGet':2,'ContextLock':9,'DiskConnectionsCreated':1,'DiskConnectionsElapsedMicroseconds':127,'DiskConnectionsExpired':1,'DiskConnectionsPreserved':4,'DiskConnectionsReused':3,'DiskS3GetObject':2,'DiskS3HeadObject':2,'DiskS3ReadMicroseconds':1962,'DiskS3ReadRequestsCount':4,'IOBufferAllocBytes':8540,'IOBufferAllocs':2,'MemoryAllocatedWithoutCheck':12,'MemoryAllocatedWithoutCheckBytes':10976,'ReadBufferFromS3Bytes':222,'ReadBufferFromS3InitMicroseconds':1274,'ReadBufferFromS3Microseconds':1282,'S3GetObject':2,'S3HeadObject':2,'S3ReadMicroseconds':1962,'S3ReadRequestsCount':4}	8f18d9e506c5449978f9eef959a11013		0	{}
